# Audio2txt v3.0 - 顧問訪視1001
# Duration: 52.7min
# Processing: 4.5min
# Speakers: 3

# SPEAKER_00: 14.9min (396 segments)
# SPEAKER_01: 36.0min (574 segments)
# SPEAKER_02: 2.3min (315 segments)

============================================================

[00:03 -> 00:06][SPEAKER_00]: 我跟您說明一下,我今天的任務
[00:06 -> 00:10][SPEAKER_00]: 我今天的任務是代表他們單位
[00:10 -> 00:16][SPEAKER_00]: 畢竟銀行他們能看的點比較片面
[00:16 -> 00:18][SPEAKER_00]: 看的大部分都是財務面的部分
[00:18 -> 00:21][SPEAKER_00]: 所以營運面、商業面的部分
[00:21 -> 00:23][SPEAKER_00]: 他們就會委任給我們這些部分
[00:23 -> 00:27][SPEAKER_00]: 所以我們的角色其實是協助
[00:27 -> 00:30][SPEAKER_00]: 甚至協助你們,聲帶者
[00:30 -> 00:32][SPEAKER_00]: 讓銀行可以更了解你們
[00:32 -> 00:35][SPEAKER_00]: 更有信心把這袋款帶給你們
[00:35 -> 00:40][SPEAKER_00]: 所以今天的部分大概會花
[00:40 -> 00:42][SPEAKER_00]: 差不多半條到一個小時的時間
[00:42 -> 00:44][SPEAKER_00]: 然後跟你聊一下
[00:44 -> 00:46][SPEAKER_00]: 了解公司的一些狀況
[00:46 -> 00:47][SPEAKER_00]: 然後看有什麼東西
[00:47 -> 00:50][SPEAKER_00]: 我會做一些記錄,然後回報給銀行
[00:50 -> 00:51][SPEAKER_00]: 讓他們更了解你們
[00:51 -> 00:53][SPEAKER_00]: 也知道怎麼去協助你們
[00:53 -> 00:56][SPEAKER_00]: 所以今天我可能會
[00:56 -> 00:58][SPEAKER_00]: 從一些比較基本的問題
[00:58 -> 01:00][SPEAKER_00]: 然後再跟你做詢問
[01:00 -> 01:02][SPEAKER_00]: OK,好
[01:02 -> 01:04][SPEAKER_00]: 輕鬆一點
[01:04 -> 01:06][SPEAKER_01]: OK
[01:06 -> 01:09][SPEAKER_00]: 那我想要請教金先生
[01:09 -> 01:11][SPEAKER_00]: 你這部分是創業
[01:11 -> 01:12][SPEAKER_00]: 這是創業的嘛
[01:12 -> 01:14][SPEAKER_00]: 那大概做多久
[01:14 -> 01:20][SPEAKER_01]: 這間公司大概是第四年到第五年
[01:20 -> 01:24][SPEAKER_00]: 目前我們是做保養品的嗎
